Bandit,Reward,Algorithm,Trial
0.0,1.5437431604812986,EpsilonGreedy,
0.0,0.384570230401664,EpsilonGreedy,
0.0,0.905378998102028,EpsilonGreedy,
0.0,0.0711718999660669,EpsilonGreedy,
2.0,2.530525614065048,EpsilonGreedy,
2.0,3.5425600435859645,EpsilonGreedy,
2.0,3.241962271566034,EpsilonGreedy,
2.0,1.086719755342202,EpsilonGreedy,
2.0,1.987168879665576,EpsilonGreedy,
2.0,3.314247332595274,EpsilonGreedy,
2.0,4.465648768921554,EpsilonGreedy,
2.0,2.774223699513464,EpsilonGreedy,
2.0,2.4556172754748173,EpsilonGreedy,
2.0,3.1109225897098662,EpsilonGreedy,
2.0,2.3993613100811952,EpsilonGreedy,
2.0,2.708306250206723,EpsilonGreedy,
2.0,2.986502775262066,EpsilonGreedy,
1.0,0.9422890710441,EpsilonGreedy,
2.0,3.566112826781041,EpsilonGreedy,
2.0,2.2955465496234098,EpsilonGreedy,
2.0,2.5385342818258168,EpsilonGreedy,
2.0,3.0666572785086244,EpsilonGreedy,
2.0,3.698398941331722,EpsilonGreedy,
2.0,2.8283711647735816,EpsilonGreedy,
2.0,3.7855321244982454,EpsilonGreedy,
2.0,5.656010091272043,EpsilonGreedy,
2.0,3.26348604023021,EpsilonGreedy,
2.0,4.641771116014076,EpsilonGreedy,
2.0,1.4900427177833913,EpsilonGreedy,
2.0,3.7215024623586457,EpsilonGreedy,
2.0,2.956463197526502,EpsilonGreedy,
2.0,2.7246990897536074,EpsilonGreedy,
2.0,3.930584400771102,EpsilonGreedy,
2.0,3.6777674096733417,EpsilonGreedy,
2.0,3.6622845136190625,EpsilonGreedy,
2.0,3.24112216258713,EpsilonGreedy,
2.0,2.7542523125729597,EpsilonGreedy,
2.0,2.230332226333892,EpsilonGreedy,
2.0,1.4258447130559453,EpsilonGreedy,
2.0,3.6379529432248896,EpsilonGreedy,
2.0,2.06623715908795,EpsilonGreedy,
2.0,3.784208187653938,EpsilonGreedy,
2.0,2.385124240582689,EpsilonGreedy,
2.0,3.3328924404889295,EpsilonGreedy,
2.0,2.940182736338331,EpsilonGreedy,
2.0,3.961173766418355,EpsilonGreedy,
2.0,3.297650448508347,EpsilonGreedy,
2.0,1.971884229412462,EpsilonGreedy,
2.0,3.1357538294764864,EpsilonGreedy,
2.0,3.6080896620009617,EpsilonGreedy,
2.0,1.533032114820474,EpsilonGreedy,
2.0,3.892629471506162,EpsilonGreedy,
2.0,2.5852353655945337,EpsilonGreedy,
2.0,1.6012591183941425,EpsilonGreedy,
2.0,2.672374816721997,EpsilonGreedy,
2.0,2.138401945751671,EpsilonGreedy,
2.0,1.6506100267669912,EpsilonGreedy,
2.0,1.98092721463193,EpsilonGreedy,
2.0,4.945115614486786,EpsilonGreedy,
2.0,2.8466635424838596,EpsilonGreedy,
2.0,2.516877321248707,EpsilonGreedy,
2.0,2.4301716516015963,EpsilonGreedy,
2.0,2.984516659988221,EpsilonGreedy,
2.0,2.972623554414841,EpsilonGreedy,
2.0,2.241672879481758,EpsilonGreedy,
2.0,3.4574156487191425,EpsilonGreedy,
2.0,2.935621949199033,EpsilonGreedy,
2.0,3.3449023350447287,EpsilonGreedy,
2.0,4.43351548728992,EpsilonGreedy,
2.0,4.065793708549304,EpsilonGreedy,
2.0,5.158728523363104,EpsilonGreedy,
2.0,4.23177837671611,EpsilonGreedy,
2.0,3.7278331141658674,EpsilonGreedy,
2.0,2.38093063964504,EpsilonGreedy,
2.0,4.21805043775651,EpsilonGreedy,
2.0,2.610541975696518,EpsilonGreedy,
2.0,4.933839800928118,EpsilonGreedy,
2.0,3.080970805944567,EpsilonGreedy,
2.0,3.7181282798247106,EpsilonGreedy,
2.0,2.04852824935196,EpsilonGreedy,
2.0,3.4280128409894273,EpsilonGreedy,
2.0,0.5303011349324027,EpsilonGreedy,
2.0,2.162418608236886,EpsilonGreedy,
2.0,3.677186065582099,EpsilonGreedy,
2.0,2.3743837047670686,EpsilonGreedy,
2.0,2.477538520467417,EpsilonGreedy,
2.0,3.062824599733182,EpsilonGreedy,
2.0,3.5015963653461726,EpsilonGreedy,
2.0,3.964810582328435,EpsilonGreedy,
2.0,1.935168847136994,EpsilonGreedy,
2.0,3.9206667157130712,EpsilonGreedy,
2.0,2.773277544450638,EpsilonGreedy,
2.0,3.6530483110497607,EpsilonGreedy,
2.0,4.1026874654627115,EpsilonGreedy,
2.0,2.0146182028743125,EpsilonGreedy,
2.0,1.906059590931526,EpsilonGreedy,
2.0,2.99514305534897,EpsilonGreedy,
2.0,2.616676693734097,EpsilonGreedy,
2.0,3.867229498976444,EpsilonGreedy,
2.0,3.9584138362132983,EpsilonGreedy,
2.0,5.273345158017482,EpsilonGreedy,
2.0,3.146974650457216,EpsilonGreedy,
2.0,2.9885565525302713,EpsilonGreedy,
2.0,3.4133540876236452,EpsilonGreedy,
2.0,4.3003451479965396,EpsilonGreedy,
2.0,1.656476235932567,EpsilonGreedy,
2.0,2.9953040053264406,EpsilonGreedy,
2.0,1.4291880164723847,EpsilonGreedy,
2.0,1.2167489378344762,EpsilonGreedy,
2.0,2.7568655395929844,EpsilonGreedy,
2.0,2.8723952057186253,EpsilonGreedy,
2.0,3.3415908059487163,EpsilonGreedy,
2.0,2.0504809548211416,EpsilonGreedy,
2.0,2.4031026684372474,EpsilonGreedy,
2.0,1.6585965020538356,EpsilonGreedy,
2.0,1.3783053790565167,EpsilonGreedy,
2.0,1.852280027175,EpsilonGreedy,
2.0,4.389602828146591,EpsilonGreedy,
2.0,3.8828376605093897,EpsilonGreedy,
2.0,2.550695613904218,EpsilonGreedy,
2.0,1.1981120309934397,EpsilonGreedy,
2.0,3.4677170774981168,EpsilonGreedy,
2.0,2.2670488649562768,EpsilonGreedy,
3.0,4.195346472546973,EpsilonGreedy,
3.0,5.330881327972086,EpsilonGreedy,
3.0,4.9882026105041115,EpsilonGreedy,
3.0,2.847434628339985,EpsilonGreedy,
3.0,2.4992316067928257,EpsilonGreedy,
3.0,3.960363857960381,EpsilonGreedy,
3.0,3.465337258149936,EpsilonGreedy,
3.0,3.585468194610109,EpsilonGreedy,
3.0,4.080198712540815,EpsilonGreedy,
3.0,3.106879726370777,EpsilonGreedy,
3.0,3.6651827526052663,EpsilonGreedy,
3.0,4.549576345062667,EpsilonGreedy,
3.0,2.72912819312396,EpsilonGreedy,
3.0,6.389035957392462,EpsilonGreedy,
3.0,5.8434137583205334,EpsilonGreedy,
3.0,4.015143278259864,EpsilonGreedy,
3.0,4.442074016866732,EpsilonGreedy,
3.0,3.5555012557808174,EpsilonGreedy,
3.0,2.330867640909468,EpsilonGreedy,
3.0,3.228180922243245,EpsilonGreedy,
3.0,5.661301730608154,EpsilonGreedy,
3.0,4.317767032437119,EpsilonGreedy,
3.0,2.387772692825477,EpsilonGreedy,
3.0,4.3772962654604095,EpsilonGreedy,
3.0,5.65135098647949,EpsilonGreedy,
3.0,3.2692585967703467,EpsilonGreedy,
3.0,2.72008026673687,EpsilonGreedy,
3.0,3.762608038793331,EpsilonGreedy,
3.0,5.872005680472304,EpsilonGreedy,
3.0,2.7050575255201403,EpsilonGreedy,
3.0,3.8948814952535864,EpsilonGreedy,
3.0,5.543067651859084,EpsilonGreedy,
3.0,5.323263807151236,EpsilonGreedy,
3.0,4.058508902306844,EpsilonGreedy,
3.0,6.347996928450323,EpsilonGreedy,
3.0,3.797542474168449,EpsilonGreedy,
3.0,4.060896607117161,EpsilonGreedy,
3.0,2.102623017511342,EpsilonGreedy,
3.0,5.280540761677464,EpsilonGreedy,
3.0,4.686848512765971,EpsilonGreedy,
3.0,4.070972415639746,EpsilonGreedy,
3.0,3.5135672339476396,EpsilonGreedy,
3.0,4.20759826128572,EpsilonGreedy,
3.0,3.377762835093721,EpsilonGreedy,
3.0,3.64451135908364,EpsilonGreedy,
3.0,4.362013911942471,EpsilonGreedy,
3.0,4.581314134035724,EpsilonGreedy,
3.0,4.551737010465074,EpsilonGreedy,
3.0,3.289872042072516,EpsilonGreedy,
3.0,2.212328388068218,EpsilonGreedy,
3.0,2.779429895718146,EpsilonGreedy,
3.0,5.552859775839326,EpsilonGreedy,
3.0,3.5604821245257225,EpsilonGreedy,
3.0,4.012146509073225,EpsilonGreedy,
3.0,4.930934083974079,EpsilonGreedy,
3.0,3.7607752021302447,EpsilonGreedy,
3.0,4.853974711067856,EpsilonGreedy,
3.0,3.7289595377114577,EpsilonGreedy,
3.0,3.386905317091622,EpsilonGreedy,
3.0,5.912317639839971,EpsilonGreedy,
3.0,5.065227082546918,EpsilonGreedy,
3.0,5.204922921778574,EpsilonGreedy,
3.0,2.803339530786478,EpsilonGreedy,
3.0,3.3008534219080827,EpsilonGreedy,
3.0,3.991182953754192,EpsilonGreedy,
3.0,3.6909074908030783,EpsilonGreedy,
3.0,4.803813051376258,EpsilonGreedy,
3.0,4.613841341475425,EpsilonGreedy,
3.0,5.357880788099989,EpsilonGreedy,
3.0,3.56669659309744,EpsilonGreedy,
3.0,4.203822727527467,EpsilonGreedy,
3.0,5.154354338408924,EpsilonGreedy,
3.0,3.522618269424679,EpsilonGreedy,
3.0,3.335772556695577,EpsilonGreedy,
3.0,5.360111366248171,EpsilonGreedy,
3.0,1.962924065027861,EpsilonGreedy,
3.0,5.570032280542672,EpsilonGreedy,
3.0,3.697675757923692,EpsilonGreedy,
3.0,3.995437171009704,EpsilonGreedy,
3.0,5.2711382259809145,EpsilonGreedy,
3.0,4.770863101464039,EpsilonGreedy,
3.0,2.5543900275279174,EpsilonGreedy,
3.0,3.15586308648226,EpsilonGreedy,
3.0,4.069652664518879,EpsilonGreedy,
3.0,4.983504306358465,EpsilonGreedy,
3.0,4.473627387727564,EpsilonGreedy,
3.0,4.054350577938571,EpsilonGreedy,
3.0,3.568057798391628,EpsilonGreedy,
3.0,5.85996700648693,EpsilonGreedy,
3.0,3.88906806437049,EpsilonGreedy,
3.0,4.976309126481103,EpsilonGreedy,
